Feature,Importance,Rank
Pseudomonas_aeruginosa,0.7974174,1
Enterobacter,0.63021505,2
Klebsiella_pneumoniae,0.6181747,3
Enterococcus_faecium,0.5237359,4
previous_antibiotic_resistance_ciprofloxacin,0.45150295,5
previous_antibiotic_exposure_carbapenem,0.42341614,6
Staphylococcus_aureus,0.3987191,7
Acinetobacter_baumannii,0.3140668,8
organism_other,0.29930538,9
entity_present_pca_13,0.22824445,10
dept_OP,0.22518948,11
previous_antibiotic_resistance_levofloxacin,0.2112536,12
gender,0.20841362,13
previous_antibiotic_exposure_nitrofurantoin,0.18945889,14
entity_present_pca_10,0.18940789,15
note_embedding_pca_10,0.18086377,16
note_embedding_pca_19,0.17790663,17
note_embedding_pca_14,0.17623569,18
entity_present_pca_15,0.16626179,19
note_embedding_pca_6,0.16563547,20
