Feature,Importance,Rank
previous_antibiotic_exposure_fluoroquinolone,1.0690143,1
previous_antibiotic_resistance_ciprofloxacin,1.0003289,2
previous_antibiotic_resistance_levofloxacin,0.82138324,3
BMI,0.526053,4
dept_OP,0.5070995,5
organism_NA,0.44957897,6
previous_antibiotic_exposure_carbapenem,0.4441297,7
dept_nan,0.41591468,8
note_embedding_pca_10,0.33737916,9
previous_antibiotic_resistance_nitrofurantoin,0.31509084,10
note_embedding_pca_0,0.31270456,11
entity_present_pca_1,0.29870543,12
entity_present_pca_17,0.29736,13
race,0.27915767,14
note_embedding_pca_17,0.24866983,15
veteran,0.23678383,16
note_embedding_pca_4,0.21179941,17
previous_antibiotic_exposure_nitrofurantoin,0.19572994,18
note_embedding_pca_1,0.18791436,19
entity_present_pca_14,0.1835181,20
