Feature,Importance,Rank
Enterobacter,0.9342267,1
Acinetobacter_baumannii,0.886488,2
Pseudomonas_aeruginosa,0.78407544,3
Klebsiella_pneumoniae,0.7561191,4
previous_antibiotic_exposure_carbapenem,0.70112336,5
previous_antibiotic_resistance_levofloxacin,0.47442424,6
organism_other,0.38592,7
previous_antibiotic_resistance_ciprofloxacin,0.36816263,8
Staphylococcus_aureus,0.3667391,9
Enterococcus_faecium,0.3305986,10
entity_present_pca_15,0.31627053,11
dept_OP,0.31311533,12
note_embedding_pca_14,0.24294543,13
entity_present_pca_12,0.23221934,14
entity_present_pca_5,0.21325281,15
veteran,0.19571112,16
entity_present_pca_3,0.19193035,17
entity_present_pca_18,0.19188748,18
note_embedding_pca_7,0.17790577,19
note_embedding_pca_10,0.17005956,20
