Feature,Importance,Rank
previous_antibiotic_exposure_fluoroquinolone,1.100383,1
previous_antibiotic_resistance_levofloxacin,0.9414896,2
previous_antibiotic_resistance_ciprofloxacin,0.89287525,3
dept_nan,0.7376021,4
dept_OP,0.63743377,5
previous_antibiotic_exposure_carbapenem,0.5291751,6
BMI,0.5086655,7
organism_NA,0.5056209,8
note_embedding_pca_10,0.4966403,9
entity_present_pca_1,0.36074784,10
previous_antibiotic_resistance_nitrofurantoin,0.3396036,11
note_embedding_pca_0,0.29316154,12
note_embedding_pca_15,0.26384428,13
entity_present_pca_17,0.25981134,14
note_embedding_pca_9,0.25339928,15
race,0.24181241,16
note_embedding_pca_4,0.24159224,17
entity_present_pca_14,0.23213573,18
previous_antibiotic_exposure_nitrofurantoin,0.22227205,19
note_embedding_pca_17,0.19870803,20
