Feature,Importance,Rank
Klebsiella_pneumoniae,0.93724805,1
Pseudomonas_aeruginosa,0.65983284,2
organism_other,0.6441297,3
Staphylococcus_aureus,0.6195449,4
Enterobacter,0.51844454,5
Acinetobacter_baumannii,0.3800042,6
Enterococcus_faecium,0.35560986,7
note_embedding_pca_11,0.274489,8
gender,0.2739355,9
entity_present_pca_9,0.25614554,10
previous_antibiotic_exposure_nitrofurantoin,0.23854674,11
note_embedding_pca_16,0.22569667,12
entity_present_pca_5,0.22039862,13
dept_OP,0.20293663,14
note_embedding_pca_12,0.20219463,15
entity_present_pca_2,0.19493754,16
entity_present_pca_12,0.19274238,17
entity_present_pca_7,0.18828414,18
previous_antibiotic_exposure_aminoglycoside,0.18700284,19
entity_present_pca_11,0.15984711,20
