Feature,Importance,Rank
previous_antibiotic_resistance_nitrofurantoin,1.260351,1
dept_nan,0.46134153,2
entity_present_pca_1,0.36553738,3
dept_OP,0.3246136,4
previous_antibiotic_exposure_cephalosporin,0.29439116,5
organism_NA,0.28441983,6
previous_antibiotic_exposure_carbapenem,0.27796435,7
BMI,0.27406657,8
note_embedding_pca_0,0.24022858,9
entity_present_pca_0,0.17649256,10
note_embedding_pca_16,0.17128292,11
note_embedding_pca_1,0.15183212,12
note_embedding_pca_10,0.15174545,13
previous_antibiotic_exposure_aminoglycoside,0.14925317,14
dept_ER,0.14769074,15
note_embedding_pca_17,0.13455094,16
note_embedding_pca_4,0.13247551,17
entity_present_pca_17,0.12516196,18
entity_present_pca_16,0.123421974,19
note_embedding_pca_15,0.12171182,20
