Feature,Importance,Rank
previous_antibiotic_exposure_fluoroquinolone,0.2992117,1
previous_antibiotic_resistance_levofloxacin,0.26459476,2
dept_OP,0.2582369,3
note_embedding_pca_1,0.24939232,4
age,0.21371791,5
previous_antibiotic_resistance_ciprofloxacin,0.06869247,6
race,0.047979344,7
entity_present_pca_2,0.025845975,8
note_embedding_pca_11,0.02530345,9
entity_present_pca_0,0.023915822,10
entity_present_pca_17,0.023869362,11
note_embedding_pca_17,0.016875798,12
dept_ER,0.016167864,13
note_embedding_pca_2,0.015578009,14
entity_present_pca_14,0.013433155,15
previous_antibiotic_exposure_carbapenem,0.0127017,16
note_embedding_pca_3,0.012595534,17
previous_antibiotic_resistance_sulfamethoxazole,0.00975607,18
note_embedding_pca_8,0.00879394,19
veteran,0.008758397,20
