Feature,Importance,Rank
organism_other,1.7700171,1
previous_antibiotic_resistance_nitrofurantoin,0.09954841,2
Staphylococcus_aureus,0.07530036,3
gender,0.05705561,4
entity_present_pca_18,0.056714572,5
note_embedding_pca_16,0.056311283,6
entity_present_pca_2,0.04807061,7
note_embedding_pca_11,0.045483075,8
entity_present_pca_6,0.04068205,9
note_embedding_pca_5,0.03300731,10
note_embedding_pca_7,0.031927112,11
entity_present_pca_0,0.029571475,12
entity_present_pca_12,0.029079951,13
entity_present_pca_7,0.028508063,14
age,0.028144415,15
note_embedding_pca_1,0.025643002,16
note_embedding_pca_9,0.023161381,17
entity_present_pca_19,0.019450482,18
entity_present_pca_13,0.013980279,19
note_embedding_pca_13,0.013613255,20
