Feature,Importance,Rank
note_embedding_pca_1,0.19657718,1
previous_antibiotic_resistance_nitrofurantoin,0.16164185,2
age,0.11162144,3
dept_OP,0.097021334,4
previous_antibiotic_exposure_cephalosporin,0.064797066,5
note_embedding_pca_17,0.03212488,6
note_embedding_pca_10,0.02777292,7
note_embedding_pca_0,0.026449366,8
note_embedding_pca_16,0.025527025,9
note_embedding_pca_9,0.022411563,10
entity_present_pca_17,0.022084063,11
note_embedding_pca_2,0.020913411,12
note_embedding_pca_3,0.02002797,13
note_embedding_pca_18,0.016548434,14
entity_present_pca_12,0.015719498,15
note_embedding_pca_19,0.015270319,16
entity_present_pca_5,0.013435743,17
entity_present_pca_0,0.012095387,18
note_embedding_pca_15,0.0120799355,19
entity_present_pca_16,0.010163376,20
